date,매매,분류,code,종목명,PER,PBR,ROE,현재가,연중최고가,연중최저가
2025/12/02/01:00,매수,시총대비영업이익30%이상,53700,삼보모터스,2.06,0.23,12.5,-3950,4980,-3805
2025/12/02/01:00,매수,시총대비영업이익30%이상,214270,FSN,,1.11,-11.9,2000,3955,-1060
2025/12/02/22:55,매수,외국인지분율상승,0030R0,대신밸류리츠,,,0.8,4660,4960,-4255
2025/12/02/22:55,매수,외국인지분율상승,7690,국도화학,33.05,0.33,1.1,31550,42250,-27900
2025/12/02/22:55,매수,외국인지분율상승,9970,영원무역홀딩스,7.4,0.91,13.2,181200,186900,-79500
2025/12/02/22:55,매수,외국인지분율상승,11070,LG이노텍,13.06,1.1,8.9,248000,259500,-121000
2025/12/02/22:55,매수,외국인지분율상승,25530,SJM홀딩스,5.97,0.33,5.9,3785,3920,-2905
2025/12/02/22:55,매수,외국인지분율상승,33130,디지틀조선,14.94,0.64,4.4,1523,1860,-1358
2025/12/02/22:55,매수,외국인지분율상승,40610,SG&G,3.96,0.17,4.5,1880,2115,-1468
2025/12/02/22:55,매수,외국인지분율상승,42370,비츠로테크,25.56,0.9,3.7,8090,10980,-6570
2025/12/02/22:55,매수,외국인지분율상승,43650,국순당,54.04,0.31,0.6,4160,5200,-3955
2025/12/02/22:55,매수,외국인지분율상승,69730,DSR제강,,0.32,-15.7,3655,4145,-3270
2025/12/02/22:55,매수,외국인지분율상승,131760,파인텍,12.76,0.97,8.3,816,1530,-752
2025/12/02/22:55,매수,외국인지분율상승,234080,JW생명과학,5.46,1.16,24.5,15180,15580,-10000
2025/12/02/22:55,매수,외국인지분율상승,262840,아이퀘스트,10.31,0.79,8.1,1841,3185,-1805
2025/12/02/22:55,매수,외국인지분율상승,264900,크라운제과,7.21,0.55,8.0,9100,10120,-7620
2025/12/02/22:55,매수,외국인지분율상승,333050,모코엠시스,13.8,1.41,11.2,1343,1996,-1204
2025/12/02/22:55,매수,외국인지분율상승,382480,지아이텍,14.78,0.97,6.9,2070,3050,-1925
2025/12/02/22:55,매수,외국인지분율상승,393970,대진첨단소재,,0.86,-1.5,4480,19390,-3740
2025/12/02/22:55,매수,외국인지분율상승,481850,신한글로벌액티브리츠,,0.47,-11.7,-1301,2095,-1273
2025/12/02/22:55,매수,외국인순매수,33130,디지틀조선,14.94,0.64,4.4,1523,1860,-1358
2025/12/02/22:55,매수,외국인순매수,91810,티웨이항공,,4.1,-55.0,-1590,4500,-1580
